source_entity_id,title_sr,title_en,source_type_sr,source_type_en,date_from,date_to,language,place_of_publication_sr,preserving_institution_id,wikidata,issn,source_id,evidence_page_pdf,verification_status,note
S001,Књига кумства краља Александра I Карађорђевића 1921–1934,"Register of Godparenthood of King Alexander I Karađorđević, 1921–1934",матична књига / регистар,parish register,1921,1934,sr,Чачак,I009,,,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,2,source_verified_repository,Основни примарни извор пилот-рада; публикација наводи да се чува у ризници Цркве Вазнесења Господњег у Чачку.
S002,Српске новине,Srpske novine,новине,newspaper,,,sr,Београд,,,,book-2025-usklici-iskrenog-odusevljenja,17,source_verified,У монографији означене као званично државно гласило и систематски коришћене за реконструкцију путовања 1901.
S003,Новине србске,Novine srbske,новине,newspaper,,,sr,,,,,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,13,source_verified,Цитиране као примарни новински извор за посете кнеза Михаила Обреновића 1840–1841.
S004,Дневник,Dnevnik,новине,newspaper,1901,1901,sr,,,,,book-2025-usklici-iskrenog-odusevljenja,33,source_verified_title_year,Запис се односи на лист Дневник коришћен за догађаје из 1901; издавач и место излажења треба накнадно ауторитетски проверити.
S005,Нова задруга,Nova zadruga,новине,newspaper,1901,1901,sr,,,,,book-2025-usklici-iskrenog-odusevljenja,61,source_verified_title_year,Коришћена за извештаје о путовању владарског пара 1901; ауторитетски подаци нису претпостављени.
S006,Застава,Zastava,новине,newspaper,1901,1901,sr,,,,,book-2025-usklici-iskrenog-odusevljenja,33,source_verified_title_year,Коришћена као новински извор за путовање 1901; запис је ограничен на наслов и годину потврђене у публикацији.
S007,Мали журнал,Mali žurnal,новине,newspaper,1901,1901,sr,,,,,book-2025-usklici-iskrenog-odusevljenja,34,source_verified_title_year,Коришћен као новински извор за извештавање о краљевском путовању 1901.
S008,Трговински гласник,Trgovinski glasnik,новине,newspaper,1901,1901,sr,,,,,book-2025-usklici-iskrenog-odusevljenja,17,source_verified_title_year,Наведен међу листовима који су извештавали о путовању 1901; појединачни бројеви још нису нормализовани.
S009,Чачански глас,Čačanski glas,новине,newspaper,,,sr,Чачак,,,,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,18,source_verified,"Цитиран као локални новински извор у раду о култу светитеља, местима сећања и политичким митовима."
S010,Србски дневник,Srbski dnevnik,новине,newspaper,,,sr,,,,,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,26,source_verified,Цитиран као примарни извор за посете кнеза Михаила; не мешати са листом Дневник из 1901 (S004).
S011,"Рукописи Надежде и Растка Петровића, К-2","Manuscripts of Nadežda and Rastko Petrović, K-2",архивска збирка рукописа,archival manuscript collection,,,sr,Београд,I016,,,article-2026-heroization-of-the-painter-nadezda-petrovic-1915-1941,13,source_verified_repository,Конкретна сигнатура наведена је у научном апарату рада о хероизацији.
S012,Политика,Politika,новине,newspaper,1904,,sr,Београд,,,0350-4395,article-2026-heroization-of-the-painter-nadezda-petrovic-1915-1941,6,source_verified_title_issn,"Коришћена за праћење раних некролога, преноса посмртних остатака и посмртне репрезентације; Wikidata ID није постављен без недвосмислене провере."
S013,Време,Vreme,новине,newspaper,1921,1941,sr,Београд,,,,article-2026-heroization-of-the-painter-nadezda-petrovic-1915-1941,13,source_verified_title_period,Историјски београдски дневни лист; не мешати са савременим недељником истог назива.
S014,Правда,Pravda,новине,newspaper,1904,1941,sr,Београд,,,,article-2026-heroization-of-the-painter-nadezda-petrovic-1915-1941,6,source_verified_title_period,Коришћена за некрологе и јавне интерпретације култа Надежде Петровић.
S015,Пијемонт,Pijemont,новине,newspaper,1911,1915,sr,Београд,,,,article-2026-heroization-of-the-painter-nadezda-petrovic-1915-1941,6,source_verified_title_period,Лист је 1915. Надежду Петровић представио кроз архетип Косовке девојке.
S016,Борба,Borba,новине,newspaper,1922,,sr,Београд,,,,article-2001-politics-art-and-the-creation-of-traditions-the-erection-of-the-nadezd,19,source_verified_title,Коришћена за извештавање о откривању споменика Надежди Петровић у Чачку 1955; спољни ауторитетски ID није постављен без недвосмислене провере.
