relation_id,subject_id,relation,object_id,source_id,evidence_page,evidence_note,confidence
R001,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,concernsPerson,P006,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,pp. 33–63 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R002,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,concernsPerson,P007,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,pp. 33–63 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R003,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,concernsPerson,P016,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,pp. 33–63 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R004,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,concernsInstitution,I004,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,PDF 10,Анализирана као институционални оквир сакралног памћења и националних пантеона.,high
R005,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,concernsInstitution,I005,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,pp. 33–63 (print),Публикација непосредно обрађује установу или њену историјску улогу.,high
R006,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,concernsPlace,PL001,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,pp. 33–63 (print),Место представља значајан простор анализе у публикацији.,high
R007,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,concernsPlace,PL002,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,pp. 33–63 (print),Место представља значајан простор анализе у публикацији.,high
R008,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,concernsPlace,PL008,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,pp. 33–63 (print),Место представља значајан простор анализе у публикацији.,high
R009,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,concernsPlace,PL015,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,PDF 9,Просторни оквир манастира Вујан и меморијалних традиција анализираних у раду.,high
R010,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,concernsPlace,PL017,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,PDF 18,Насеље у непосредном просторном и меморијалном окружењу манастира Вујан.,high
R011,P007,restored,I005,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,pp. 33–63 (print),Никола Милићевић Луњевица повезан је са обновом и ктиторском традицијом манастира Вујан.,high
R012,P007,patronOf,I005,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,PDF 8–9,Никола Милићевић Луњевица у раду је представљен као добротвор/ктиторски актер манастира Вујан.,high
R013,P006,buriedAt,I005,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,pp. 63 (print),Лазар Мутап је сахрањен у меморијалном контексту манастира Вујан.,high
R014,I005,locatedIn,PL015,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,PDF 9,Манастир Вујан припада простору планине Вујан.,high
R015,I005,locatedIn,PL017,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,PDF 18,Манастир Вујан налази се у непосредном просторном окружењу Прислонице.,high
R016,P016,descendantOf,P007,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,pp. 63 (print),Драга Обреновић је у раду наведена као потомак Николе Милићевића Луњевице.,high
R017,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,usesSource,S009,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,PDF 18,"Цитиран као локални новински извор у раду о култу светитеља, местима сећања и политичким митовима.",high
R018,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,concernsPerson,P025,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,pp. 71–100 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R019,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,concernsInstitution,I009,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,pp. 71–100 (print),Публикација непосредно обрађује установу или њену историјску улогу.,high
R020,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,concernsPlace,PL001,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,PDF 4,Основни државни и географски оквир анализираног корпуса.,high
R021,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,concernsPlace,PL002,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,pp. 71–100 (print),Место представља значајан простор анализе у публикацији.,high
R022,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,concernsPlace,PL004,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,pp. 71–100 (print),Место представља значајан простор анализе у публикацији.,high
R023,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,publishedBy,I001,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,front matter,Народни музеј Чачак је издавач Зборника радова у коме је рад објављен.,high
R024,I009,locatedIn,PL002,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,PDF 1–2,Црква Вазнесења Господњег налази се у Чачку.,high
R025,I009,preservesSource,S001,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,PDF 2,„Књига кумства” чува се у ризници Цркве Вазнесења Господњег у Чачку.,high
R026,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,usesSource,S001,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,PDF 2,Основни примарни извор пилот-рада; публикација наводи да се чува у ризници Цркве Вазнесења Господњег у Чачку.,high
R027,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,concernsPerson,P002,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,pp. 215–242 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R028,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,concernsPerson,P005,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,pp. 215–242 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R029,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,concernsPerson,P013,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,pp. 215–242 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R030,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,concernsPerson,P015,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,pp. 215–242 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R031,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,concernsPerson,P025,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,pp. 215–242 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R032,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,concernsInstitution,I001,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,pp. 215–242 (print),Публикација непосредно обрађује установу или њену историјску улогу.,high
R033,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,concernsInstitution,I015,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,PDF 8,Пук је пре Другог светског рата обележавао погибију свог патрона Танаска Рајића као славу.,high
R034,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,concernsPlace,PL001,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,pp. 215–242 (print),Место представља значајан простор анализе у публикацији.,high
R035,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,concernsPlace,PL002,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,pp. 215–242 (print),Место представља значајан простор анализе у публикацији.,high
R036,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,concernsPlace,PL003,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,pp. 215–242 (print),Место представља значајан простор анализе у публикацији.,high
R037,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,concernsPlace,PL013,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,pp. 215–242 (print),Место представља значајан простор анализе у публикацији.,high
R038,P005,diedAt,PL003,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,pp. 217 (print),Танаско Рајић погинуо је код Љубића 1815. године.,high
R039,I015,locatedIn,PL002,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,PDF 8,19. артиљеријски пук је у извору везан за Чачак.,high
R040,I015,commemorates,P005,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,PDF 8,19. артиљеријски пук обележавао је погибију свог патрона Танаска Рајића као славу.,high
R041,PL003,commemorates,P005,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,pp. 215–242 (print),Љубић је меморијални простор везан за погибију и каснију комеморацију Танаска Рајића.,high
R042,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,concernsPerson,P002,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,pp. 165–196 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R043,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,concernsPerson,P004,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,pp. 165–196 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R044,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,concernsPerson,P008,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,pp. 165–196 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R045,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,concernsPerson,P009,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,pp. 165–196 (print),Публикација непосредно обрађује личност као значајног актера анализе.,high
R046,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,concernsPerson,P011,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,PDF 27,Државник укључен у организацију власти и путовања за време кнеза Михаила.,high
R047,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,concernsPerson,P026,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,PDF 23,Црквени великодостојник присутан у опису ритуала владарске посете.,high
R048,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,concernsInstitution,I006,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,pp. 165–196 (print),Публикација непосредно обрађује установу или њену историјску улогу.,high
