institution_id,name_sr,name_en,institution_type_sr,institution_type_en,active_from,active_to,historical_name_sr,current_name_sr,wikidata,official_url,source_id,evidence_page_pdf,evidence_note,verification_status,note
I001,Народни музеј Чачак,National Museum Čačak,музеј,museum,1952,,,Народни музеј Чачак,https://www.wikidata.org/entity/Q16761275,https://www.cacakmuzej.org.rs,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,11,Наведен као институционална афилијација аутора; музеј чува и објављује грађу релевантну за пилот-корпус.,verified_authority,Датум оснивања и званична адреса проверени преко Wikidata записа.
I002,Уметничка галерија „Надежда Петровић”,Nadežda Petrović Art Gallery,уметничка галерија,art gallery,1961,,,Уметничка галерија „Надежда Петровић”,https://www.wikidata.org/entity/Q85999972,https://nadezdapetrovic.rs/,book-2025-usklici-iskrenog-odusevljenja,40,Појављује се као издавач релевантне публикације у научном апарату монографије.,source_verified_contextual,"У пилот-корпусу веза је контекстуална, али је установа задржана због значаја за шири истраживачки опус."
I003,Народни музеј Краљево,National Museum Kraljevo,музеј,museum,1950,,,Народни музеј Краљево,https://www.wikidata.org/entity/Q25460950,https://nmkv.rs/,conference_paper-2023-rulers-and-towns-the-press-on-the-visits-of-the-obrenovic-and-karadjor,3,Наведен као издавач и институционални оквир зборника у коме је објављен пилот-рад.,verified_authority,
I004,Српска православна црква,Serbian Orthodox Church,верска заједница,religious organization,1219,,,Српска православна црква,https://www.wikidata.org/entity/Q188814,http://www.spc.rs,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,10,Анализирана као институционални оквир сакралног памћења и националних пантеона.,verified_authority,
I005,Манастир Вујан,Vujan Monastery,манастир,monastery,,,,Манастир Вујан,https://www.wikidata.org/entity/Q3320353,,article-2016-the-cult-of-saints-places-of-remembrance-and-political-myths-example-o,9,Централна верска и меморијална институција рада о култу светитеља и политичким митовима.,verified_authority,"Почетак деловања није нормализован јер рад разликује средњовековно порекло, обнову 1805. и каснији институционални континуитет."
I006,Манастир Студеница,Studenica Monastery,манастир,monastery,1186,,,Манастир Студеница,https://www.wikidata.org/entity/Q143042,https://manastirstudenica.rs/,book-2025-usklici-iskrenog-odusevljenja,92,Посећен током владарског путовања и тумачен као важно место сакралне и династичке репрезентације.,verified_authority,
I007,Манастир Жича,Žiča Monastery,манастир,monastery,1208,,,Манастир Жича,https://www.wikidata.org/entity/Q1283823,http://www.zica.org.rs,book-2025-usklici-iskrenog-odusevljenja,104,Укључен у програм путовања као крунидбено и архиепископско средиште.,verified_authority,
I008,Манастир Враћевшница,Vraćevšnica Monastery,манастир,monastery,1428,,,Манастир Враћевшница,https://www.wikidata.org/entity/Q1563182,,book-2025-usklici-iskrenog-odusevljenja,152,Посећен током путовања 1901. и повезан са династичком и породичном меморијом.,verified_authority,
I009,Црква Вазнесења Господњег у Чачку,Church of the Ascension in Čačak,парохијска и саборна црква,parish and cathedral church,,,,Црква Вазнесења Господњег у Чачку,https://www.wikidata.org/entity/Q12761041,,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,1,"У њеној ризници чува се „Књига кумства”, основни извор пилот-рада.",verified_authority,У различитим деловима публикације јављају се облици „Вазнесења Христовог” и „Вазнесења Господњег”; нормализован је назив са Wikidata ставке.
I010,Народна скупштина Краљевине Србије,National Assembly of the Kingdom of Serbia,законодавно тело,legislative body,1882,1918,,,https://www.wikidata.org/entity/Q31181734,,book-2025-usklici-iskrenog-odusevljenja,29,Помиње се у опису уставног и политичког оквира путовања 1901. године.,verified_authority,"Хронолошке границе односе се на институцију под називом Краљевине Србије, не на целокупну историју српске скупштине."
